ikshit@gmail.co.in, The Guitar, 47, 4, ikshit@gmail.co.in, https://open.spotify.com/track/6rdsM3l1UWdlWZYUB5Jgxq
jaiyush@yandex.co.in, Guitar Man, 65, 6, jaiyush@yandex.co.in, https://open.spotify.com/track/0gZXockVcE7rEhSf4mcGLO
ujjwal@protonmail.in, Me and My Guitar, 72, 7, ujjwal@protonmail.in, https://open.spotify.com/track/6cZH4rX1KTt1aJ3Ql6Ynja
nishith@hotmail.co.in, Guitarra, 38, 3, nishith@hotmail.co.in, https://open.spotify.com/track/2e030wRlvk7aU21DIGN4kL
reyansh@hotmail.com, Guitar Town, 59, 5, reyansh@hotmail.com, https://open.spotify.com/track/62ZRHYSOIT9WeZnz18kTHS
purab@protonmail.in, Teardrops On My Guitar - Radio Single Remix, 66, 6, purab@protonmail.in, https://open.spotify.com/track/7zMcNqs55Mxer82bvZFkpg
lakshit@hotmail.com, Guitar Romantic Search Adventure, 57, 5, lakshit@hotmail.com, https://open.spotify.com/track/38MpHJPfachRo2T0W5zd9O
nishith@hotmail.co.in, The Nights, 85, 8, nishith@hotmail.co.in, https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
saatvik@hotmail.com, The Nights, 52, 5, saatvik@hotmail.com, https://open.spotify.com/track/6VdjmtfC5V5sJCJHTdFosn
arnav@protonmail.com, oui, 76, 7, arnav@protonmail.com, https://open.spotify.com/track/0PJIbOdMs3bd5AT8liULMQ
nimit@yandex.jest, The Nights, 57, 5, nimit@yandex.jest, https://open.spotify.com/track/19GqnCuVdOlSPHp6rHdYR2
sahil@protonmail.co.in, The Nights, 57, 5, sahil@protonmail.co.in, https://open.spotify.com/track/3YkhNMK7YcdkUSKM5nM3ur
divij@yandex.in, One of These Nights - 2013 Remaster, 71, 7, divij@yandex.in, https://open.spotify.com/track/608xszaAxVh4m7NcKJiAbF
aarav@yandex.com, The Nights - Acoustic, 48, 4, aarav@yandex.com, https://open.spotify.com/track/2K9E0ONkRGEfS8C8xqfdIE
izaan@gmail.co.in, The Nights - Felix Jaehn Remix, 52, 5, izaan@gmail.co.in, https://open.spotify.com/track/6xNSaBtoPKlPhXsNT7ZwLd
gauransh@hotmail.co.in, Don't Tell 'Em, 73, 7, gauransh@hotmail.co.in, https://open.spotify.com/track/0Dc7J9VPV4eOInoxUiZrsL
aryaman@gmail.com, The Nights - Piano Version, 45, 4, aryaman@gmail.com, https://open.spotify.com/track/4YaCNUP1d4eeOo00EEX2gT
advik@protonmail.com, Counting Stars, 77, 7, advik@protonmail.com, https://open.spotify.com/track/6sy3LkhNFjJWlaeSMNwQ62
yuvraj@yandex.jest, Counting Stars (Feat. Beenzino), 64, 6, yuvraj@yandex.jest, https://open.spotify.com/track/2tXHQVu865MgrCeWeiu52h
bhavin@yandex.in, Counting Stars, 0, 0, bhavin@yandex.in, https://open.spotify.com/track/7exllVHGgizRGrQAGnSrlX
saatvik@hotmail.com, counting stars - sped up + reverb, 43, 4, saatvik@hotmail.com, https://open.spotify.com/track/7G3hAe7kWjYH9Ars6SBq3o
akarsh@gmail.com, Counting Stars, 54, 5, akarsh@gmail.com, https://open.spotify.com/track/7KMm1zF2QOTSw2t01IAFif
kushagra@hotmail.in, Counting Stars, 0, 0, kushagra@hotmail.in, https://open.spotify.com/track/5iQdbGOr98AkKMZw2cuXHP
vihaan@protonmail.jest, Counting Stars, 37, 3, vihaan@protonmail.jest, https://open.spotify.com/track/1WYhtwbo2bSX664Yk5UdN8
aarush@gmail.com, Counting Stars, 45, 4, aarush@gmail.com, https://open.spotify.com/track/0oubcPxMP962JtNEfI5pVR
ahaan@protonmail.com, Counting Stars, 55, 5, ahaan@protonmail.com, https://open.spotify.com/track/5Sx07ReKX5M8r6MWsiCXy0
jaiyush@yandex.co.in, Counting Stars, 1, 0, jaiyush@yandex.co.in, https://open.spotify.com/track/0dh23otToj4FJ8Urogaf0h
